╧ О/О;ьРПХУ-ЙНД ОЮПРХХ;мЮХЛЕМНБЮМХЕ РНБЮПЮ;оНЯРЮБЫХЙ;дЮРЮ ОПХУНДМНЦН ДНЙСЛЕМРЮ;мНЛЕП ОПХУНДМНЦН ДНЙСЛЕМРЮ;дЮРЮ МЮЙКЮДМНИ;мНЛЕП МЮЙКЮДМНИ;йНК-БН;яСЛЛЮ Б ГЮЙСОНВМШУ ЖЕМЮУ АЕГ мдя;яРЮБЙЮ мдя ОНЯРЮБЫХЙЮ;яСЛЛЮ мдя;яСЛЛЮ Б ГЮЙСОНВМШУ ЖЕМЮУ Я мдя
1;200200060311;ятл оепвюрйх ялнрп. м/яреп. кюр. п.S ╧100 (50оюп) [SFM];йЮРПЕМ Ц.уХЛЙХ;26.05.2021;2002088;25.05.2021;4665120-30;0.04;33.65;10%;3.37;37.02
2;200801594420;йнялнонп онбъгйю 10ялу6ял ╧25 о/ноеп. яюлнйк. яепеапн [COSMOPOR];гДПЮБЯЕПБХЯ;25.03.2020;9000479.8;25.03.2020;E7914339/27806739;0.04;27.58;10%;2.76;30.34
3;200200075091;уюпрлюмм апюмнкхмд H онбъгйю яреп. 10у20ял. ╧30 оепсюм.аюкэгюл /юпр.4923462/ [BRANOLIND];оПНРЕЙ;01.09.2021;2003451;01.09.2021;164621235-001;0.06666666;145.28;10%;14.53;159.81
4;200801670938;йнялнонп е онбъгйю 20ялу8ял ╧25 о/ноеп. яюлнйк. яреп. /юпр.9008725/ [COSMOPOR];оПНРЕЙ;17.06.2020;9000628.8;17.06.2020;132215190-001;0.08;47.07;10%;4.71;51.78
5;200801489808;тнйсяхм 0,4лц. ╧90 йюоя. лндхт.бшяб. /гемрхбю/яюмейю/;оПНРЕЙ;12.12.2019;9001590.8;12.12.2019;120939343-001;0.11111111;96.37;10%;9.64;106.00
6;200200075402;йяюпекрн 20лц. ╧98 рюа. о/о/н /аюиеп/;йЮРПЕМ Ц.уХЛЙХ;04.09.2021;2003493;03.09.2021;7596372-30;0.142857143;1197.99;10%;119.80;1317.79
7;200801652772;оепвюрйх ялнрп. мхрпхк. м/яреп. п.L ╧200 (100 оюп);цй мЮДЕФДЮ тЮПЛ;27.05.2020;9000599.8;26.05.2020;183390п4;0.16;370.91;10%;37.09;408.00
8;200801557255;пнгсйюпд 20лц. ╧60 рюа. о/о/н;оПНРЕЙ;20.02.2020;9000312.8;20.02.2020;124924964-003;0.16666667;207.57;10%;20.76;228.33
9;200200069595;пслюкнм 1лк. ╧25 п-п д/б/л юло.;йЮРПЕМ Ц.уХЛЙХ;21.07.2021;2002858;20.07.2021;6289110-30;0.2;484.38;10%;48.44;532.82
10;200801522625;бхбю опегепбюрхб д/сгх ╧100 [VIVA];оПНРЕЙ;16.01.2020;13000099.8;16.01.2020;122696347-001;0.2;125.87;10%;12.59;138.46
11;200900006593;йнялнонп е онбъгйю 20ялу8ял ╧25 о/ноеп. яюлнйк. яреп. /юпр.9008725/ [COSMOPOR];гДПЮБЯЕПБХЯ;30.12.2020;9001002;30.12.2020;E10291381/32404863;0.24;162.08;10%;16.21;178.29
12;200200074550;пхмцепю п-п 200лк. ╧30 д/хмт. йнмр. /йпюятюплю/;йЮРПЕМ Ц.уХЛЙХ;28.08.2021;2003398;27.08.2021;7399719-30;0.3;223.22;10%;22.32;245.55
13;200900011484;мн-ьою 20лц/лк. 2лк. ╧25 п-п д/б/б,б/л юло. /ухмнхм/;йЮРПЕМ Ц.уХЛЙХ;07.05.2021;9000592;06.05.2021;4115929-30;0.32;113.07;10%;11.31;124.38
14;200200053007;опнкюрюм 0,005% 2,5лк. ╧3 цк.йюокх тк.;йЮРПЕМ Ц.уХЛЙХ;14.04.2021;2001509;13.04.2021;3391991-30;0.33333334;376.80;10%;37.68;414.48
15;200200035348;пхцебхднм ╧63 (21у3) рюа. о/н /цеденм пхуреп/;оСКЭЯ ;06.01.2021;2000041;05.01.2021;апм00006772;0.3333334;186.82;10%;18.68;205.50
16;200200076204;ющпрюк 100лц. 3ц/оюй. ╧20 онп. д/ясяо. д/опхелю бмсрпэ оюй.;оПНРЕЙ;08.09.2021;2003551;08.09.2021;165154682-002;0.35;122.81;10%;12.28;135.09
17;200200065598;деплюцпхо уюи пхяй оепвюрйх ялнрп. м/яреп. п.L ╧50 (25оюп);йЮРПЕМ Ц.уХЛЙХ;26.06.2021;2002518;25.06.2021;5596550-30;0.36;304.95;10%;30.50;335.44
18;200200076114;уюпрлюмм йнялнонп е онбъгйю 7,2у5ял ╧50 о/ноеп. яюлнйк. яреп. [HARTMANN COSMOPOR];гДПЮБЯЕПБХЯ;07.09.2021;2003538;07.09.2021;E12676930/37466998;0.38;124.06;10%;12.41;136.47
